,prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg,junyi_code,level,learning_content,pre_code,para_code,theme,topic
80,四年級,兩步驟問題併式,R-4-1,五年級,三步驟問題併式,R-5-1,R-4-1,主題,兩步驟問題併式：併式是代數學習的重要基礎。含四則混合計算的約定（由左往右算、先乘除後加減、括號先算）。學習逐次減項計算。,"N-2-8,N-3-7,N-3-6","N-4-3,R-4-2",R,
80,四年級,兩步驟問題併式,R-4-1,五年級,四則計算規律(II),R-5-2,R-4-1,主題,兩步驟問題併式：併式是代數學習的重要基礎。含四則混合計算的約定（由左往右算、先乘除後加減、括號先算）。學習逐次減項計算。,"N-2-8,N-3-7,N-3-6","N-4-3,R-4-2",R,
81,四年級,四則計算規律（I）,R-4-2,五年級,四則計算規律(II),R-5-2,R-4-2,主題,四則計算規律（I）：兩步驟計算規則。加減混合計算、乘除混合計算。在四則混合計算中運用數的運算性質。,"N-2-8,N-3-7,R-3-2","N-4-3,R-4-1",R,
81,四年級,四則計算規律（I）,R-4-2,六年級,比與比值,N-6-6,R-4-2,主題,四則計算規律（I）：兩步驟計算規則。加減混合計算、乘除混合計算。在四則混合計算中運用數的運算性質。,"N-2-8,N-3-7,R-3-2","N-4-3,R-4-1",R,
81,四年級,四則計算規律（I）,R-4-2,六年級,數的計算規律,R-6-1,R-4-2,主題,四則計算規律（I）：兩步驟計算規則。加減混合計算、乘除混合計算。在四則混合計算中運用數的運算性質。,"N-2-8,N-3-7,R-3-2","N-4-3,R-4-1",R,
82,四年級,以文字表示數學公式,R-4-3,五年級,分數的乘法,N-5-5,R-4-3,主題,以文字表示數學公式：理解以文字和運算符號聯合表示的數學公式，並能應用公式。可併入其他教學活動（如S-4-3）。,,S-4-3,R,
82,四年級,以文字表示數學公式,R-4-3,五年級,整數相除之分數表示,N-5-6,R-4-3,主題,以文字表示數學公式：理解以文字和運算符號聯合表示的數學公式，並能應用公式。可併入其他教學活動（如S-4-3）。,,S-4-3,R,
82,四年級,以文字表示數學公式,R-4-3,五年級,三角形與四邊形的性質,S-5-1,R-4-3,主題,以文字表示數學公式：理解以文字和運算符號聯合表示的數學公式，並能應用公式。可併入其他教學活動（如S-4-3）。,,S-4-3,R,
82,四年級,以文字表示數學公式,R-4-3,五年級,三角形與四邊形的面積,S-5-2,R-4-3,主題,以文字表示數學公式：理解以文字和運算符號聯合表示的數學公式，並能應用公式。可併入其他教學活動（如S-4-3）。,,S-4-3,R,
82,四年級,以文字表示數學公式,R-4-3,五年級,以符號表示數學公式,R-5-3,R-4-3,主題,以文字表示數學公式：理解以文字和運算符號聯合表示的數學公式，並能應用公式。可併入其他教學活動（如S-4-3）。,,S-4-3,R,
82,四年級,以文字表示數學公式,R-4-3,六年級,數量關係的表示,R-6-3,R-4-3,主題,以文字表示數學公式：理解以文字和運算符號聯合表示的數學公式，並能應用公式。可併入其他教學活動（如S-4-3）。,,S-4-3,R,
83,四年級,數量模式與推理（II）,R-4-4,六年級,數量關係,R-6-2,R-4-4,主題,數量模式與推理（II）：以操作活動為主。二維變化模式之觀察與推理，如二維數字圖之推理。奇數與偶數，及其加、減、乘模式。,R-3-2,,R,
84,四年級,報讀長條圖與折線圖以及製作長條圖,D-4-1,五年級,製作折線圖,D-5-1,D-4-1,主題,報讀長條圖與折線圖以及製作長條圖：報讀與說明生活中的長條圖與折線圖。配合其他領域課程，學習製作長條圖。,D-3-1,,D,
84,四年級,報讀長條圖與折線圖以及製作長條圖,D-4-1,六年級,圓形圖,D-6-1,D-4-1,主題,報讀長條圖與折線圖以及製作長條圖：報讀與說明生活中的長條圖與折線圖。配合其他領域課程，學習製作長條圖。,D-3-1,,D,
84,四年級,報讀長條圖與折線圖以及製作長條圖,D-4-1,六年級,解題：可能性,D-6-2,D-4-1,主題,報讀長條圖與折線圖以及製作長條圖：報讀與說明生活中的長條圖與折線圖。配合其他領域課程，學習製作長條圖。,D-3-1,,D,
85,五年級,十進位的位值系統,N-5-1,六年級,小數的除法,N-6-4,N-5-1,主題,"十進位的位值系統:「兆位」至「千分位」。整合整數與小數。理解基於
 位值系統可延伸表示更大的數和更小的數。
 備註:熟練十進位系統「乘以十」、「除以十」所延伸的計算如「300×1200」
 與「600000÷4000」之處理。","N-4-1,N-4-7,N-4-2,N-4-4","N-5-8,N-5-9",N,
85,五年級,十進位的位值系統,N-5-1,七年級,科學記號,N-7-8,N-5-1,主題,"十進位的位值系統:「兆位」至「千分位」。整合整數與小數。理解基於
 位值系統可延伸表示更大的數和更小的數。
 備註:熟練十進位系統「乘以十」、「除以十」所延伸的計算如「300×1200」
 與「600000÷4000」之處理。","N-4-1,N-4-7,N-4-2,N-4-4","N-5-8,N-5-9",N,
86,五年級,十進位的位值系統,N-5-2,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-2,主題,"解題:多步驟應用問題。除「平均」之外,原則上為三步驟解題應用。
 備註:以學生較熟悉、能直接併式之問題為原則。本條目要求併式。須含分配律
 情境之三步驟問題,以和分配律教學連結(R-5-2)。",N-4-3,"R-5-1,R-5-2",N,
86,五年級,十進位的位值系統,N-5-2,六年級,"解題：由問題中的數量關係,列出恰當的算式解題",N-6-9,N-5-2,主題,"解題:多步驟應用問題。除「平均」之外,原則上為三步驟解題應用。
 備註:以學生較熟悉、能直接併式之問題為原則。本條目要求併式。須含分配律
 情境之三步驟問題,以和分配律教學連結(R-5-2)。",N-4-3,"R-5-1,R-5-2",N,
87,五年級,公因數和公倍數,N-5-3,六年級,20以內的質數和質因數分解,N-6-1,N-5-3,主題,公因數和公倍數:因數、倍數、公因數、公倍數、最大公因數、最小公倍數的意義。,"N-3-4,N-4-6",N-5-4,N,
87,五年級,公因數和公倍數,N-5-3,六年級,最大公因數與最小公倍數,N-6-2,N-5-3,主題,公因數和公倍數:因數、倍數、公因數、公倍數、最大公因數、最小公倍數的意義。,"N-3-4,N-4-6",N-5-4,N,
88,五年級,異分母分數,N-5-4,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-4,主題,異分母分數:用約分、擴分處理等值分數並做比較。用通分做異分母分數的加減。養成利用約分化簡分數計算習慣。,"N-4-6,N-4-5",N-5-3,N,
89,五年級,分數的乘法,N-5-5,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-5,主題,"分數的乘法:整數乘以分數、分數乘以分數的意義。知道用約分簡化乘法計算。處理乘積一定比被乘數大的錯誤類型。透過分數計算的公式,知道乘法交換律在分數也成立。","N-4-5,R-4-3","N-5-6,N-5-7,N-5-8,R-5-3,N-5-10,N-5-16,S-5-2",N,
89,五年級,分數的乘法,N-5-5,六年級,分數的除法,N-6-3,N-5-5,主題,"分數的乘法:整數乘以分數、分數乘以分數的意義。知道用約分簡化乘法計算。處理乘積一定比被乘數大的錯誤類型。透過分數計算的公式,知道乘法交換律在分數也成立。","N-4-5,R-4-3","N-5-6,N-5-7,N-5-8,R-5-3,N-5-10,N-5-16,S-5-2",N,
89,五年級,分數的乘法,N-5-5,六年級,數的計算規律,R-6-1,N-5-5,主題,"分數的乘法:整數乘以分數、分數乘以分數的意義。知道用約分簡化乘法計算。處理乘積一定比被乘數大的錯誤類型。透過分數計算的公式,知道乘法交換律在分數也成立。","N-4-5,R-4-3","N-5-6,N-5-7,N-5-8,R-5-3,N-5-10,N-5-16,S-5-2",N,
90,五年級,整數相除之分數表示,N-5-6,六年級,分數的除法,N-6-3,N-5-6,主題,"整數相除之分數表示:從分裝(測量)和平分的觀點,分別說明整數相除為分數之意義與合理性。","N-3-4,R-4-3","N-5-9,N-5-10,N-5-5,N-5-7,N-5-16",N,
90,五年級,整數相除之分數表示,N-5-6,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-6,主題,"整數相除之分數表示:從分裝(測量)和平分的觀點,分別說明整數相除為分數之意義與合理性。","N-3-4,R-4-3","N-5-9,N-5-10,N-5-5,N-5-7,N-5-16",N,
90,五年級,整數相除之分數表示,N-5-6,六年級,比與比值,N-6-6,N-5-6,主題,"整數相除之分數表示:從分裝(測量)和平分的觀點,分別說明整數相除為分數之意義與合理性。","N-3-4,R-4-3","N-5-9,N-5-10,N-5-5,N-5-7,N-5-16",N,
90,五年級,整數相除之分數表示,N-5-6,六年級,數的計算規律,R-6-1,N-5-6,主題,"整數相除之分數表示:從分裝(測量)和平分的觀點,分別說明整數相除為分數之意義與合理性。","N-3-4,R-4-3","N-5-9,N-5-10,N-5-5,N-5-7,N-5-16",N,
91,五年級,分數除以整數,N-5-7,六年級,分數的除法,N-6-3,N-5-7,主題,分數除以整數:分數除以整數的意義。最後將問題轉化為乘以單位分數。,,"N-5-5,N-5-6,N-5-9,N-5-10,N-5-16",N,
91,五年級,分數除以整數,N-5-7,六年級,小數的除法,N-6-4,N-5-7,主題,分數除以整數:分數除以整數的意義。最後將問題轉化為乘以單位分數。,,"N-5-5,N-5-6,N-5-9,N-5-10,N-5-16",N,
91,五年級,分數除以整數,N-5-7,六年級,數的計算規律,R-6-1,N-5-7,主題,分數除以整數:分數除以整數的意義。最後將問題轉化為乘以單位分數。,,"N-5-5,N-5-6,N-5-9,N-5-10,N-5-16",N,
92,五年級,小數的乘法,N-5-8,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-8,主題,小數的乘法:整數乘以小數、小數乘以小數的意義。乘數為小數的直式計算。教師用位值的概念說明直式計算的合理性。處理乘積一定比被乘數大的錯誤類型。,,"N-5-1,N-5-5,N-5-10,N-5-11,N-5-16,S-5-2",N,
93,五年級,整數、小數除以整數(商為小數),N-5-9,六年級,小數的除法,N-6-4,N-5-9,主題,"整數、小數除以整數(商為小數):整數除以整數(商為小數)、小數除
 以整數的意義。教師用位值的概念說明直式計算的合理性。能用概數協助處理除
 不盡的情況。熟悉分母為2、4、5、8之真分數所對應的小數。",N-4-6,"N-5-6,N-5-7,N-5-11,N-5-1,N-5-10,N-5-16",N,
94,五年級,解題：比率與應用,N-5-10,六年級,分數的除法,N-6-3,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
94,五年級,解題：比率與應用,N-5-10,六年級,小數的除法,N-6-4,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
94,五年級,解題：比率與應用,N-5-10,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
94,五年級,解題：比率與應用,N-5-10,六年級,比與比值,N-6-6,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
94,五年級,解題：比率與應用,N-5-10,六年級,解題：基準量與比較量,N-6-8,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
94,五年級,解題：比率與應用,N-5-10,六年級,圓形圖,D-6-1,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
94,五年級,解題：比率與應用,N-5-10,六年級,解題：可能性,D-6-2,N-5-10,主題,解題:比率與應用。整數相除的應用。含「百分率」、「折」、「成」。,N-4-6,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9,N-5-11",N,
95,五年級,解題：對小數取概數,N-5-11,六年級,小數的除法,N-6-4,N-5-11,主題,解題:對小數取概數。具體生活情境。四捨五入法。知道商除不盡的處理。理解近似的意義。,N-4-4,"N-5-8,N-5-9,N-5-10,N-5-12,N-5-13",N,
95,五年級,解題：對小數取概數,N-5-11,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-11,主題,解題:對小數取概數。具體生活情境。四捨五入法。知道商除不盡的處理。理解近似的意義。,N-4-4,"N-5-8,N-5-9,N-5-10,N-5-12,N-5-13",N,
96,五年級,面積,N-5-12,,,,N-5-12,主題,面積:「公畝」、「公頃」、「平方公里」。生活實例之應用。含與「平方公尺」的換算與計算。使用概數。,"N-4-9,N-4-4,N-4-11",N-5-11,N,
97,五年級,重量,N-5-13,,,,N-5-13,主題,重量:「公噸」。生活實例之應用。含與「公斤」的換算與計算。使用概數。,"N-4-4,N-4-9,N-3-16","N-5-11,N-5-15",N,
98,五年級,體積,N-5-14,,,,N-5-14,主題,體積:「立方公尺」。簡單實測、量感、估測與計算。,"N-4-12,N-4-9","N-5-15,S-5-5",N,
99,五年級,解題：容積,N-5-15,,,,N-5-15,主題,解題:容積。容量、容積和體積間的關係。知道液體體積的意義。,"N-3-15,N-4-12,S-4-4","N-5-14,S-5-5,N-5-13",N,
100,五年級,解題：時間的乘除,N-5-16,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,N-5-16,主題,"解題:時間的乘除問題。在分數和小數學習的範圍內,解決與時間相關的乘除問題。",N-4-13,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9",N,
100,五年級,解題：時間的乘除,N-5-16,六年級,解題：速度,N-6-7,N-5-16,主題,"解題:時間的乘除問題。在分數和小數學習的範圍內,解決與時間相關的乘除問題。",N-4-13,"N-5-5,N-5-6,N-5-7,N-5-8,N-5-9",N,
101,五年級,三角形與四邊形的性質,S-5-1,六年級,放大與縮小,S-6-1,S-5-1,主題,三角形與四邊形的性質:操作活動與簡單推理。含三角形三內角和為180度。三角形任意兩邊和大於第三邊。平行四邊形的對邊相等、對角相等。,"S-3-4,S-4-6,S-4-7,S-4-8,N-4-10,S-4-5,R-4-3","S-5-2,S-5-5,S-5-4",S,
101,五年級,三角形與四邊形的性質,S-5-1,八年級,畢氏定理,S-8-6,S-5-1,主題,三角形與四邊形的性質:操作活動與簡單推理。含三角形三內角和為180度。三角形任意兩邊和大於第三邊。平行四邊形的對邊相等、對角相等。,"S-3-4,S-4-6,S-4-7,S-4-8,N-4-10,S-4-5,R-4-3","S-5-2,S-5-5,S-5-4",S,
102,五年級,三角形與四邊形的面積,S-5-2,六年級,柱體體積與表面積,S-6-4,S-5-2,主題,"三角形與四邊形的面積:操作活動與推理。利用切割重組,建立面積公式,並能應用。","S-3-4,S-4-3,S-4-5,S-4-7,S-4-8,N-4-11,S-4-6,R-4-3","N-5-5,N-5-8,S-5-4,R-5-3,S-5-1,S-5-7",S,
102,五年級,三角形與四邊形的面積,S-5-2,八年級,畢氏定理,S-8-6,S-5-2,主題,"三角形與四邊形的面積:操作活動與推理。利用切割重組,建立面積公式,並能應用。","S-3-4,S-4-3,S-4-5,S-4-7,S-4-8,N-4-11,S-4-6,R-4-3","N-5-5,N-5-8,S-5-4,R-5-3,S-5-1,S-5-7",S,
103,五年級,扇形,S-5-3,六年級,圓周率、圓周長、圓面積、扇形面積,S-6-3,S-5-3,主題,扇形:扇形的定義。「圓心角」。扇形可視為圓的一部分。將扇形與分數結合(幾分之幾圓)。能畫出指定扇形。,"S-3-3,N-4-1,S-4-1,N-4-10",,S,
103,五年級,扇形,S-5-3,六年級,圓形圖,D-6-1,S-5-3,主題,扇形:扇形的定義。「圓心角」。扇形可視為圓的一部分。將扇形與分數結合(幾分之幾圓)。能畫出指定扇形。,"S-3-3,N-4-1,S-4-1,N-4-10",,S,
104,五年級,線對稱,S-5-4,七年級,線對稱的性質,S-7-4,S-5-4,主題,線對稱:線對稱的意義。「對稱軸」、「對稱點」、「對稱邊」、「對稱角」。由操作活動知道特殊平面圖形的線對稱性質。利用線對稱做簡單幾何推理。製作或繪製線對稱圖形。,"S-4-5,S-4-6,S-4-7,S-4-8,N-4-10","S-5-1,S-5-2,S-5-7",S,
104,五年級,線對稱,S-5-4,七年級,線對稱的基本圖形,S-7-5,S-5-4,主題,線對稱:線對稱的意義。「對稱軸」、「對稱點」、「對稱邊」、「對稱角」。由操作活動知道特殊平面圖形的線對稱性質。利用線對稱做簡單幾何推理。製作或繪製線對稱圖形。,"S-4-5,S-4-6,S-4-7,S-4-8,N-4-10","S-5-1,S-5-2,S-5-7",S,
104,五年級,線對稱,S-5-4,七年級,垂直,S-7-3,S-5-4,主題,線對稱:線對稱的意義。「對稱軸」、「對稱點」、「對稱邊」、「對稱角」。由操作活動知道特殊平面圖形的線對稱性質。利用線對稱做簡單幾何推理。製作或繪製線對稱圖形。,"S-4-5,S-4-6,S-4-7,S-4-8,N-4-10","S-5-1,S-5-2,S-5-7",S,
105,五年級,正方體和長方體,S-5-5,六年級,柱體體積與表面積,S-6-4,S-5-5,主題,正方體和長方體:計算正方體和長方體的體積與表面積。正方體與長方體的體積公式。,N-4-12,"N-5-14,N-5-15,R-5-3,S-5-1,S-5-6",S,
106,五年級,空間中面與面的關係,S-5-6,六年級,柱體體積與表面積,S-6-4,S-5-6,主題,空間中面與面的關係:以操作活動為主。生活中面與面平行或垂直的現象。正方體(長方體)中面與面的平行或垂直關係。用正方體(長方體)檢查面與面的平行與垂直。,"S-3-4,S-4-5","S-5-5,S-5-7",S,
107,五年級,球、柱體與錐體,S-5-7,六年級,柱體體積與表面積,S-6-4,S-5-7,主題,"球、柱體與錐體:以操作活動為主。認識球、(直)圓柱、(直)角柱、(直)角錐、(直)圓錐。認識柱體和錐體之構成要素與展開圖。檢查柱體兩底面平行;檢查柱體側面和底面垂直,錐體側面和底面不垂直。","S-3-3,S-3-4,S-4-7,S-4-8","S-5-2,S-5-4,S-5-6",S,
108,五年級,三步驟問題併式,R-5-1,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,R-5-1,主題,"三步驟問題併式:建立將計算步驟併式的習慣,以三步驟為主。介紹「平均」。與分配律連結。",R-4-1,"R-5-2,N-5-2",R,
109,五年級,四則計算規律(II),R-5-2,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,R-5-2,主題,四則計算規律(II):乘除混合計算。「乘法對加法或減法的分配律」。將計算規律應用於簡化混合計算。熟練整數四則混合計算。,"R-4-1,R-4-2","R-5-1,N-5-2",R,
109,五年級,四則計算規律(II),R-5-2,六年級,數的計算規律,R-6-1,R-5-2,主題,四則計算規律(II):乘除混合計算。「乘法對加法或減法的分配律」。將計算規律應用於簡化混合計算。熟練整數四則混合計算。,"R-4-1,R-4-2","R-5-1,N-5-2",R,
110,五年級,以符號表示數學公式,R-5-3,六年級,數量關係的表示,R-6-3,R-5-3,主題,"以符號表示數學公式:國中代數的前置經驗。初步體驗符號之使用,隱含「符號代表數」、「符號與運算符號的結合」的經驗。應併入其他教學活動。",R-4-3,"N-5-5,S-5-2,S-5-5",R,
110,五年級,以符號表示數學公式,R-5-3,七年級,一元一次方程式的意義,A-7-2,R-5-3,主題,"以符號表示數學公式:國中代數的前置經驗。初步體驗符號之使用,隱含「符號代表數」、「符號與運算符號的結合」的經驗。應併入其他教學活動。",R-4-3,"N-5-5,S-5-2,S-5-5",R,
111,五年級,製作折線圖,D-5-1,六年級,圓形圖,D-6-1,D-5-1,主題,製作折線圖:製作生活中的折線圖。,D-4-1,,D,
112,六年級,20以內的質數和質因數分解,N-6-1,七年級,100以內的質數,N-7-1,N-6-1,主題,20以內的質數和質因數分解:小於20的質數與合數。2、3、5的質因數判別法。以短除法做質因數的分解。,N-5-3,N-6-2,N,
112,六年級,20以內的質數和質因數分解,N-6-1,七年級,質因數分解的標準分解式,N-7-2,N-6-1,主題,20以內的質數和質因數分解:小於20的質數與合數。2、3、5的質因數判別法。以短除法做質因數的分解。,N-5-3,N-6-2,N,
112,六年級,20以內的質數和質因數分解,N-6-1,七年級,指數的意義,N-7-6,N-6-1,主題,20以內的質數和質因數分解:小於20的質數與合數。2、3、5的質因數判別法。以短除法做質因數的分解。,N-5-3,N-6-2,N,
112,六年級,20以內的質數和質因數分解,N-6-1,七年級,指數律,N-7-7,N-6-1,主題,20以內的質數和質因數分解:小於20的質數與合數。2、3、5的質因數判別法。以短除法做質因數的分解。,N-5-3,N-6-2,N,
113,六年級,最大公因數與最小公倍數,N-6-2,七年級,質因數分解的標準分解式,N-7-2,N-6-2,主題,最大公因數與最小公倍數:質因數分解法與短除法。兩數互質。運用到分數的約分與通分。,N-5-3,"N-6-1,N-6-3,N-6-5",N,
114,六年級,分數的除法,N-6-3,七年級,負數與數的四則混合運算 (含分數、小數),N-7-3,N-6-3,主題,分數的除法:整數除以分數、分數除以分數的意義。最後理解除以一數等於乘以其倒數之公式。,"N-5-5,N-5-6,N-5-7,N-5-10","N-6-4,N-6-5,N-6-6,N-6-7,N-6-2,N-6-8,S-6-3,R-6-1",N,
114,六年級,分數的除法,N-6-3,七年級,數的運算規律,N-7-4,N-6-3,主題,分數的除法:整數除以分數、分數除以分數的意義。最後理解除以一數等於乘以其倒數之公式。,"N-5-5,N-5-6,N-5-7,N-5-10","N-6-4,N-6-5,N-6-6,N-6-7,N-6-2,N-6-8,S-6-3,R-6-1",N,
115,六年級,小數的除法,N-6-4,七年級,數的運算規律,N-7-4,N-6-4,主題,小數的除法:整數除以小數、小數除以小數的意義。直式計算。教師用位值的概念說明直式計算的合理性。處理商一定比被除數小的錯誤類型。,"N-5-7,N-5-9,N-5-10,N-5-11,N-5-1","N-6-3,N-6-8,N-6-6,S-6-3,R-6-1",N,
115,六年級,小數的除法,N-6-4,七年級,負數與數的四則混合運算 (含分數、小數),N-7-3,N-6-4,主題,小數的除法:整數除以小數、小數除以小數的意義。直式計算。教師用位值的概念說明直式計算的合理性。處理商一定比被除數小的錯誤類型。,"N-5-7,N-5-9,N-5-10,N-5-11,N-5-1","N-6-3,N-6-8,N-6-6,S-6-3,R-6-1",N,
116,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,七年級,數的運算規律,N-7-4,N-6-5,主題,解題:整數、分數、小數的四則應用問題。二到三步驟的應用解題。含使用概數協助解題。,"R-5-1,R-5-2,N-5-2,N-5-4,N-5-5,N-5-6,N-5-8,N-5-10,N-5-11,N-5-16","R-6-1,N-6-2,N-6-3",N,
116,六年級,解題：整數、分數、小數的四則應用問題,N-6-5,七年級,負數與數的四則混合運算 (含分數、小數),N-7-3,N-6-5,主題,解題:整數、分數、小數的四則應用問題。二到三步驟的應用解題。含使用概數協助解題。,"R-5-1,R-5-2,N-5-2,N-5-4,N-5-5,N-5-6,N-5-8,N-5-10,N-5-11,N-5-16","R-6-1,N-6-2,N-6-3",N,
117,六年級,比與比值,N-6-6,七年級,比與比例式,N-7-9,N-6-6,主題,比與比值:異類量的比與同類量的比之比值的意義。理解相等的比中牽涉到的兩種倍數關係(比例思考的基礎)。解決比的應用問題。,"N-4-3,R-4-2,N-5-10,N-5-6","N-6-3,N-6-4,N-6-7,N-6-8,S-6-1,S-6-2,S-6-3",N,
118,六年級,解題：速度,N-6-7,七年級,比與比例式,N-7-9,N-6-7,主題,解題:速度。比和比值的應用。速度的意義。能做單位換算(大單位到小單位)。含不同時間區段的平均速度。含「距離=速度×時間」公式。用比例思考協助解題。,N-5-16,"N-6-7,N-6-9,N-6-3,N-6-6,N-6-8",N,
119,六年級,解題：基準量與比較量,N-6-8,,,,N-6-8,主題,解題:基準量與比較量。比和比值的應用。含交換基準時之關係。,N-5-10,"N-6-3,N-6-4,N-6-7,N-6-6,S-6-1",N,
120,六年級,"解題：由問題中的數量關係,列出恰當的算式解題",N-6-9,七年級,一元一次方程式的意義,A-7-2,N-6-9,主題,"解題:由問題中的數量關係,列出恰當的算式解題(同R-6-4)。可包含(1)較複雜的模式(如座位排列模式);(2)較複雜的計數:乘法原理、加法原理或其混合;(3)較複雜之情境:如年齡問題、流水問題、和差問題、雞兔問題。",N-5-2,"R-6-2,R-6-3,N-6-7",N,
120,六年級,"解題：由問題中的數量關係,列出恰當的算式解題",N-6-9,七年級,二元一次聯立方程式的意義,A-7-4,N-6-9,主題,"解題:由問題中的數量關係,列出恰當的算式解題(同R-6-4)。可包含(1)較複雜的模式(如座位排列模式);(2)較複雜的計數:乘法原理、加法原理或其混合;(3)較複雜之情境:如年齡問題、流水問題、和差問題、雞兔問題。",N-5-2,"R-6-2,R-6-3,N-6-7",N,
121,六年級,放大與縮小,S-6-1,九年級,圖形縮放與多邊形相似,S-9-1,S-6-1,主題,"放大與縮小:比例思考的應用。「幾倍放大圖」、「幾倍縮小圖」。知道縮放時,對應角相等,對應邊成比例。",S-5-1,"N-6-6,N-6-8,S-6-2",S,
121,六年級,放大與縮小,S-6-1,九年級,三角形的相似性質,S-9-2,S-6-1,主題,"放大與縮小:比例思考的應用。「幾倍放大圖」、「幾倍縮小圖」。知道縮放時,對應角相等,對應邊成比例。",S-5-1,"N-6-6,N-6-8,S-6-2",S,
121,六年級,放大與縮小,S-6-1,九年級,平行線截比例線段,S-9-3,S-6-1,主題,"放大與縮小:比例思考的應用。「幾倍放大圖」、「幾倍縮小圖」。知道縮放時,對應角相等,對應邊成比例。",S-5-1,"N-6-6,N-6-8,S-6-2",S,
122,六年級,解題：地圖比例尺,S-6-2,七年級,平面直角坐標系,G-7-1,S-6-2,主題,解題:地圖比例尺。地圖比例尺之意義、記號與應用。地圖上兩邊長的比和實際兩邊長的比相等。,,"N-6-6,S-6-1",S,
123,六年級,圓周率、圓周長、圓面積、扇形面積,S-6-3,九年級,圓的幾何性質,S-9-6,S-6-3,主題,"圓周率、圓周長、圓面積、扇形面積:用分割說明圓面積公式。求扇形弧長與面積。知道以下三個比相等:(1)圓心角:360;(2)扇形弧長:圓周長;(3)扇形面積:圓面積,但應用問題只處理用(1)求弧長或面積。",S-5-3,"N-6-3,N-6-4,N-6-6,D-6-1,S-6-4",S,
123,六年級,圓周率、圓周長、圓面積、扇形面積,S-6-3,九年級,點、直線與圓的關係,S-9-7,S-6-3,主題,"圓周率、圓周長、圓面積、扇形面積:用分割說明圓面積公式。求扇形弧長與面積。知道以下三個比相等:(1)圓心角:360;(2)扇形弧長:圓周長;(3)扇形面積:圓面積,但應用問題只處理用(1)求弧長或面積。",S-5-3,"N-6-3,N-6-4,N-6-6,D-6-1,S-6-4",S,
124,六年級,柱體體積與表面積,S-6-4,七年級,簡單圖形與幾何符號,S-7-1,S-6-4,主題,"柱體體積與表面積:含角柱和圓柱。利用簡單柱體,理解「柱體體積=底面積×高」的公式。簡單複合形體體積。","S-5-7,S-5-2,S-5-5,S-5-6",S-6-3,S,
124,六年級,柱體體積與表面積,S-6-4,七年級,三視圖,S-7-2,S-6-4,主題,"柱體體積與表面積:含角柱和圓柱。利用簡單柱體,理解「柱體體積=底面積×高」的公式。簡單複合形體體積。","S-5-7,S-5-2,S-5-5,S-5-6",S-6-3,S,
124,六年級,柱體體積與表面積,S-6-4,九年級,表面積與體積,S-9-13,S-6-4,主題,"柱體體積與表面積:含角柱和圓柱。利用簡單柱體,理解「柱體體積=底面積×高」的公式。簡單複合形體體積。","S-5-7,S-5-2,S-5-5,S-5-6",S-6-3,S,
125,六年級,數的計算規律,R-6-1,七年級,負數與數的四則混合運算 (含分數、小數),N-7-3,R-6-1,主題,"數的計算規律:小學最後應認識(1)整數、小數、分數都是數,享有一樣的計算規律。(2)整數乘除計算及規律,因分數運算更容易理解。(3)逐漸體會乘法和除法的計算實為一體。併入其他教學活動。","R-4-2,R-5-2,N-5-5,N-5-6,N-5-7","N-6-3,N-6-4,N-6-5",R,
